dataset,scale_label,query_name,run_phase,query_scale_phase_id,ablation_variant,availability_status,selected_g_classes,selected_config_count,removed_g_classes,removal_reasons,global_best_config_id,global_best_g_class,global_best_p95,ablation_best_config_id,ablation_best_g_class,ablation_best_p95,top1_preserved,top3_preserved,near_best_preserved,relative_regret,rule_note
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,hot,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::hot,no_depth,available,G1|G3|G5|G7|G9,5,,,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,G5,0.1171174575574696,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,G5,0.1171174575574696,1.0,1.0,1.0,0.0,Removed depth-sensitive classes. This ablation ignores embedding depth and deep/nested traversal evidence.
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,hot,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::hot,no_residual_traversal,available,G1|G3|G5|G7,4,G9,G9:removed_residual_or_reduction_sensitive_g_class,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,G5,0.1171174575574696,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,G5,0.1171174575574696,1.0,1.0,1.0,0.0,"Removed residual-traversal/reduction-sensitive classes. This ablation ignores Re, DeltaR, and DeltaRratio as activation evidence."
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,hot,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::hot,no_sharedness,available,G1|G3|G7|G9,4,G5,G5:removed_sharedness_sensitive_g_class,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,G5,0.1171174575574696,q2_company_with_industry_country_and_listed_securities__g7__update_aware_references,G7,0.1288149913307279,0.0,1.0,0.0,0.09987865188687446,Removed sharedness-sensitive classes. This ablation ignores observed sharedness pressure.
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,hot,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::hot,no_update_volatility,available,G1|G3|G5|G9,4,G7,G7:removed_update_sensitive_g_class,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,G5,0.1171174575574696,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,G5,0.1171174575574696,1.0,1.0,1.0,0.0,Removed update/volatility-sensitive classes. This ablation ignores write pressure and update volatility.
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,hot,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::hot,no_relationship_semantics_no_depth,available,G7|G9,2,G1|G3|G5,G1:removed_semantic_g_class; G3:removed_semantic_g_class; G5:removed_semantic_g_class,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,G5,0.1171174575574696,q2_company_with_industry_country_and_listed_securities__g7__update_aware_references,G7,0.1288149913307279,0.0,1.0,0.0,0.09987865188687446,Removed both relationship-semantics-driven and depth-sensitive classes. This ablation tests a reduced activation without semantic type or embedding depth.
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,cold,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::cold,full_schema_lens,available,G2|G3|G4|G5|G7|G9,6,,,q3_securities_held_in_each_financial_service_account__g9__tradeoff_benchmark_candidate,G9,0.4659323720261454,q3_securities_held_in_each_financial_service_account__g9__tradeoff_benchmark_candidate,G9,0.4659323720261454,1.0,1.0,1.0,0.0,Full SchemaLens measured space: all non-control benchmark groups.
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,cold,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::cold,no_relationship_semantics,available,G4|G7|G9,3,G2|G3|G5,G2:removed_semantic_g_class; G3:removed_semantic_g_class; G5:removed_semantic_g_class,q3_securities_held_in_each_financial_service_account__g9__tradeoff_benchmark_candidate,G9,0.4659323720261454,q3_securities_held_in_each_financial_service_account__g9__tradeoff_benchmark_candidate,G9,0.4659323720261454,1.0,1.0,1.0,0.0,"Removed relationship-semantics-driven classes. This ablation ignores association, associative, containment, descriptor, ownership, and subtype signals."
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,cold,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::cold,no_depth,available,G3|G5|G7|G9,4,G2|G4,G2:removed_depth_activation_evidence; G4:removed_depth_sensitive_g_class,q3_securities_held_in_each_financial_service_account__g9__tradeoff_benchmark_candidate,G9,0.4659323720261454,q3_securities_held_in_each_financial_service_account__g9__tradeoff_benchmark_candidate,G9,0.4659323720261454,1.0,1.0,1.0,0.0,Removed depth-sensitive classes. This ablation ignores embedding depth and deep/nested traversal evidence.
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,cold,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::cold,no_residual_traversal,available,G2|G3|G5|G7,4,G4|G9,G4:removed_residual_or_reduction_sensitive_g_class; G9:removed_residual_or_reduction_sensitive_g_class,q3_securities_held_in_each_financial_service_account__g9__tradeoff_benchmark_candidate,G9,0.4659323720261454,q3_securities_held_in_each_financial_service_account__g7__update_aware_references,G7,0.506870960816741,0.0,1.0,0.0,0.08786380008877845,"Removed residual-traversal/reduction-sensitive classes. This ablation ignores Re, DeltaR, and DeltaRratio as activation evidence."
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,cold,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::cold,no_sharedness,available,G2|G3|G4|G7|G9,5,G5,G5:removed_sharedness_sensitive_g_class,q3_securities_held_in_each_financial_service_account__g9__tradeoff_benchmark_candidate,G9,0.4659323720261454,q3_securities_held_in_each_financial_service_account__g9__tradeoff_benchmark_candidate,G9,0.4659323720261454,1.0,1.0,1.0,0.0,Removed sharedness-sensitive classes. This ablation ignores observed sharedness pressure.
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,cold,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::cold,no_update_volatility,available,G2|G3|G4|G5|G9,5,G7,G7:removed_update_sensitive_g_class,q3_securities_held_in_each_financial_service_account__g9__tradeoff_benchmark_candidate,G9,0.4659323720261454,q3_securities_held_in_each_financial_service_account__g9__tradeoff_benchmark_candidate,G9,0.4659323720261454,1.0,1.0,1.0,0.0,Removed update/volatility-sensitive classes. This ablation ignores write pressure and update volatility.
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,cold,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::cold,no_relationship_semantics_no_depth,available,G7|G9,2,G2|G3|G4|G5,G2:removed_semantic_g_class; G3:removed_semantic_g_class; G4:removed_depth_sensitive_g_class; G5:removed_semantic_g_class,q3_securities_held_in_each_financial_service_account__g9__tradeoff_benchmark_candidate,G9,0.4659323720261454,q3_securities_held_in_each_financial_service_account__g9__tradeoff_benchmark_candidate,G9,0.4659323720261454,1.0,1.0,1.0,0.0,Removed both relationship-semantics-driven and depth-sensitive classes. This ablation tests a reduced activation without semantic type or embedding depth.
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,hot,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::hot,full_schema_lens,available,G2|G3|G4|G5|G7|G9,6,,,q3_securities_held_in_each_financial_service_account__g5__shared_targets_as_references,G5,0.4349461290985345,q3_securities_held_in_each_financial_service_account__g5__shared_targets_as_references,G5,0.4349461290985345,1.0,1.0,1.0,0.0,Full SchemaLens measured space: all non-control benchmark groups.
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,hot,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::hot,no_relationship_semantics,available,G4|G7|G9,3,G2|G3|G5,G2:removed_semantic_g_class; G3:removed_semantic_g_class; G5:removed_semantic_g_class,q3_securities_held_in_each_financial_service_account__g5__shared_targets_as_references,G5,0.4349461290985345,q3_securities_held_in_each_financial_service_account__g4__deep_nested_path,G4,0.4572156874928623,0.0,1.0,0.0,0.051200727870560674,"Removed relationship-semantics-driven classes. This ablation ignores association, associative, containment, descriptor, ownership, and subtype signals."
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,hot,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::hot,no_depth,available,G3|G5|G7|G9,4,G2|G4,G2:removed_depth_activation_evidence; G4:removed_depth_sensitive_g_class,q3_securities_held_in_each_financial_service_account__g5__shared_targets_as_references,G5,0.4349461290985345,q3_securities_held_in_each_financial_service_account__g5__shared_targets_as_references,G5,0.4349461290985345,1.0,1.0,1.0,0.0,Removed depth-sensitive classes. This ablation ignores embedding depth and deep/nested traversal evidence.
